TNE5
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
294,9.136,9.136,9.136,9.136,211
297,9.136,9.136,9.136,9.136,676
298,9.129,9.136,9.129,9.136,187
299,9.146,9.146,9.146,9.146,63
303,9.148,9.148,9.148,9.148,118
328,9.15,9.15,9.15,9.15,74
329,9.15,9.15,9.15,9.15,1926
336,9.143,9.143,9.143,9.143,308
338,9.15,9.15,9.15,9.15,64
355,9.143,9.143,9.143,9.143,250
365,9.138,9.138,9.138,9.138,467
380,9.137,9.137,9.137,9.137,3
395,9.138,9.138,9.138,9.138,67
396,9.14,9.14,9.138,9.138,625
400,9.13,9.13,9.13,9.13,1248
403,9.131,9.131,9.131,9.131,53
415,9.141,9.141,9.14,9.14,155
417,9.136,9.136,9.136,9.136,383
446,9.097,9.097,9.091,9.097,134
447,9.097,9.097,9.097,9.097,1
a1485504300,9.088,9.102,9.088,9.102,986
8,9.066,9.066,9.066,9.066,681
13,9.07,9.07,9.07,9.07,44
23,9.069,9.069,9.069,9.069,346
42,9.075,9.075,9.075,9.075,136
57,9.049,9.049,9.049,9.049,325
73,9.024,9.024,9.022,9.022,1650
74,9.025,9.025,9.02,9.02,5275
79,9.018,9.018,9.018,9.018,284
90,9.02,9.022,9.02,9.022,555
107,9.034,9.034,9.034,9.034,250
146,9.014,9.014,9.014,9.014,1241
158,9.026,9.026,9.026,9.026,23
166,9.03,9.03,9.03,9.03,500
175,9.02,9.02,9.02,9.02,133
197,9.044,9.044,9.044,9.044,389
204,9.037,9.037,9.037,9.037,87
240,9.04,9.04,9.04,9.04,12
245,9.04,9.04,9.04,9.04,8
304,9.06,9.06,9.06,9.06,243
332,9.04,9.04,9.04,9.04,442
364,9.043,9.043,9.042,9.042,1450
372,9.03,9.03,9.03,9.03,64
373,9.029,9.029,9.029,9.029,324
376,9.029,9.029,9.029,9.029,24
378,9.023,9.023,9.023,9.023,116
397,9.035,9.035,9.035,9.035,918
402,9.041,9.041,9.041,9.041,500
404,9.041,9.041,9.041,9.041,24
412,9.036,9.036,9.036,9.036,71
413,9.041,9.041,9.041,9.041,26
414,9.041,9.041,9.041,9.041,1
418,9.041,9.041,9.041,9.041,1
425,9.047,9.047,9.047,9.047,10
426,9.05,9.05,9.05,9.05,1660
430,9.045,9.045,9.045,9.045,1200
440,9.045,9.045,9.045,9.045,24
458,9.043,9.043,9.043,9.043,11
460,9.043,9.043,9.043,9.043,1
463,9.041,9.041,9.041,9.041,95
490,9.043,9.043,9.043,9.043,12
503,9.05,9.05,9.05,9.05,206
a1485763500,9.052,9.052,9.052,9.052,334
14,9.03,9.03,9.03,9.03,997
29,9.03,9.03,9.03,9.03,520
30,9.035,9.035,9.035,9.035,179
48,9.035,9.035,9.035,9.035,17000
49,9.021,9.021,9.021,9.021,1250
50,9.02,9.021,9.02,9.021,2246
78,9.036,9.036,9.036,9.036,359
90,9.038,9.038,9.038,9.038,2505
108,9.015,9.015,9.015,9.015,1170
144,9.03,9.03,9.03,9.03,1000
145,9.042,9.042,9.042,9.042,131
187,9.037,9.037,9.037,9.037,417
197,9.034,9.034,9.034,9.034,800
200,9.03,9.03,9.03,9.03,443
207,9.023,9.023,9.023,9.023,846
211,9.022,9.022,9.022,9.022,65
253,9.013,9.013,9.013,9.013,2
274,9.03,9.03,9.03,9.03,634
336,9.003,9.003,9.003,9.003,22
352,9.002,9.002,9.002,9.002,238
360,9.01,9.01,9.01,9.01,462
372,9.004,9.004,9.004,9.004,400
396,9,9,9,9,3000
405,8.98,8.982,8.98,8.982,8000
408,8.98,8.98,8.972,8.972,7
423,8.98,8.98,8.979,8.979,3871
437,8.958,8.958,8.958,8.958,714
452,8.981,8.981,8.981,8.981,2000
465,8.973,8.973,8.973,8.973,2
474,8.967,8.967,8.967,8.967,2
490,8.967,8.967,8.967,8.967,223
496,8.966,8.966,8.954,8.954,4
497,8.959,8.959,8.959,8.959,1632
503,8.96,8.966,8.96,8.966,1213
504,8.96,8.96,8.96,8.96,339
"
