GHH
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484648760,2.049,2.049,2.042,2.049,5240
1,2.049,2.049,2.049,2.049,5000
202,2.047,2.047,2.047,2.047,65
347,2.029,2.029,2.029,2.029,65
a1484749320,2.005,2.005,2.005,2.005,4131
24,2.013,2.013,2.013,2.013,1188
119,2.011,2.011,2.011,2.011,5319
a1484819280,2.012,2.012,2.012,2.012,130
a1484901960,2.083,2.083,2.083,2.083,458
449,2.032,2.032,2.027,2.027,538
a1485515880,2.038,2.038,2.038,2.038,1000
98,2.053,2.053,2.053,2.053,7360
217,2.1,2.1,2.095,2.095,11914
221,2.093,2.093,2.093,2.093,2000
222,2.093,2.093,2.093,2.093,5655
293,2.089,2.089,2.089,2.089,3450
294,2.089,2.089,2.089,2.089,2502
a1485784620,2.054,2.054,2.054,2.054,906
50,2.044,2.044,2.044,2.044,1000
85,2.041,2.041,2.041,2.041,1200
"
