CNWK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
369,3.551,3.556,3.551,3.556,2000
371,3.55,3.551,3.55,3.551,4000
423,3.55,3.565,3.55,3.565,3295
433,3.55,3.55,3.55,3.55,3838
434,3.51,3.511,3.51,3.511,2000
435,3.51,3.51,3.51,3.51,100
457,3.52,3.52,3.52,3.52,353
461,3.51,3.51,3.51,3.51,791
468,3.52,3.52,3.52,3.52,449
472,3.52,3.52,3.52,3.52,198
475,3.52,3.52,3.52,3.52,102
477,3.52,3.52,3.52,3.52,398
478,3.52,3.52,3.52,3.52,402
481,3.52,3.52,3.52,3.52,1375
482,3.52,3.52,3.52,3.52,650
489,3.514,3.514,3.514,3.514,1000
491,3.52,3.52,3.511,3.511,600
492,3.52,3.52,3.52,3.52,193
496,3.589,3.589,3.55,3.55,1200
500,3.596,3.596,3.596,3.596,503
506,3.54,3.54,3.54,3.54,19
a1485331380,3.55,3.55,3.55,3.55,1000
6,3.55,3.55,3.55,3.55,333
14,3.57,3.57,3.57,3.57,1031
23,3.65,3.65,3.65,3.65,1969
25,3.652,3.652,3.65,3.65,2102
44,3.737,3.737,3.737,3.737,1000
52,3.729,3.729,3.729,3.729,100
53,3.723,3.723,3.723,3.723,1699
59,3.715,3.715,3.715,3.715,1050
69,3.735,3.735,3.735,3.735,1275
78,3.727,3.727,3.727,3.727,2200
103,3.72,3.72,3.72,3.72,450
105,3.71,3.71,3.71,3.71,1000
109,3.719,3.719,3.719,3.719,500
118,3.71,3.71,3.71,3.71,200
120,3.717,3.717,3.717,3.717,2000
132,3.713,3.713,3.713,3.713,100
210,3.719,3.719,3.719,3.719,100
225,3.7,3.7,3.7,3.7,1000
231,3.699,3.699,3.699,3.699,250
243,3.692,3.692,3.691,3.691,1000
251,3.79,3.79,3.699,3.699,11912
257,3.701,3.849,3.701,3.849,6088
259,3.822,3.822,3.822,3.822,200
260,3.61,3.706,3.61,3.706,3538
266,3.66,3.66,3.66,3.66,150
277,3.797,3.797,3.797,3.797,1688
288,3.851,3.851,3.851,3.851,1000
290,3.75,3.75,3.75,3.75,550
303,3.75,3.75,3.75,3.75,11
311,3.75,3.75,3.75,3.75,100
314,3.75,3.75,3.75,3.75,100
343,3.75,3.75,3.75,3.75,289
367,3.79,3.79,3.789,3.789,524
370,3.858,3.858,3.852,3.852,1500
399,3.75,3.76,3.75,3.76,300
422,3.86,3.86,3.86,3.86,110
423,3.864,3.864,3.863,3.863,2432
424,3.85,3.85,3.85,3.85,987
441,3.85,3.85,3.85,3.85,13
446,3.849,3.849,3.83,3.83,500
467,3.8,3.8,3.8,3.8,11
495,3.849,3.849,3.8,3.8,400
a1485417780,3.85,3.9,3.85,3.9,3306
7,3.9,3.9,3.88,3.88,4000
51,3.849,3.849,3.849,3.849,257
63,3.744,3.744,3.744,3.744,500
64,3.845,3.845,3.845,3.845,500
88,3.74,3.74,3.74,3.74,1000
90,3.74,3.74,3.74,3.74,4145
97,3.788,3.788,3.788,3.788,600
111,3.739,3.74,3.739,3.74,4870
114,3.73,3.73,3.73,3.73,130
188,3.788,3.788,3.788,3.788,1870
294,3.751,3.751,3.751,3.751,550
310,3.75,3.75,3.75,3.75,650
441,3.739,3.75,3.739,3.75,25
445,3.736,3.739,3.736,3.739,3978
a1485504180,3.72,3.72,3.72,3.72,1513
28,3.72,3.72,3.72,3.72,100
53,3.681,3.72,3.681,3.72,1000
78,3.76,3.76,3.76,3.76,500
86,3.73,3.73,3.729,3.729,4000
116,3.729,3.729,3.729,3.729,250
121,3.729,3.729,3.729,3.729,150
126,3.7,3.7,3.7,3.7,1
202,3.729,3.729,3.729,3.729,850
247,3.7,3.7,3.7,3.7,149
344,3.68,3.68,3.68,3.68,600
428,3.699,3.699,3.699,3.699,734
436,3.699,3.699,3.699,3.699,635
469,3.668,3.69,3.668,3.69,1628
505,3.651,3.66,3.651,3.66,1512
a1485763380,3.652,3.652,3.652,3.652,750
26,3.727,3.727,3.727,3.727,3000
66,3.723,3.723,3.723,3.723,1000
122,3.651,3.651,3.651,3.651,609
127,3.651,3.651,3.651,3.651,596
154,3.7,3.7,3.7,3.7,1000
186,3.68,3.68,3.68,3.68,250
189,3.67,3.67,3.67,3.67,2000
227,3.679,3.679,3.679,3.679,59
241,3.586,3.65,3.586,3.65,5896
286,3.586,3.586,3.586,3.586,250
291,3.586,3.586,3.586,3.586,500
312,3.591,3.591,3.591,3.591,500
319,3.672,3.672,3.672,3.672,280
350,3.672,3.672,3.672,3.672,100
404,3.65,3.65,3.65,3.65,5090
"
