P4I
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484670060,2.993,2.993,2.993,2.993,13069
a1484816520,2.998,2.998,2.998,2.998,2062
353,3.03,3.03,3.03,3.03,1306
354,3.03,3.03,3.03,3.03,694
a1484921040,3.005,3.005,3.005,3.005,3098
111,2.994,2.994,2.994,2.994,5160
a1485258240,3.021,3.021,3.021,3.021,387
272,3.024,3.024,3.024,3.024,387
a1485331500,3.013,3.013,3.013,3.013,1000
a1485505740,3.007,3.007,3.007,3.007,3000
a1485789900,2.999,2.999,2.999,2.999,1615
45,3.007,3.007,3.007,3.007,1615
"
