SYZ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
225,11.865,11.865,11.865,11.865,168
255,11.865,11.865,11.865,11.865,98
297,11.865,11.865,11.86,11.86,420
329,11.86,11.86,11.86,11.86,116
356,11.865,11.865,11.865,11.865,29
451,11.86,11.86,11.8,11.805,2099
478,11.82,11.82,11.82,11.82,112
a1485244980,11.805,11.845,11.805,11.845,290
93,11.845,11.845,11.845,11.845,36
116,11.895,11.895,11.845,11.845,2094
119,11.895,11.895,11.895,11.895,145
181,11.895,11.895,11.895,11.895,38
198,11.9,11.9,11.9,11.9,112
207,12.1,12.1,11.9,11.9,4848
208,12.2,12.2,12.2,12.2,245
213,11.905,11.905,11.905,11.905,1142
228,11.93,11.93,11.93,11.93,750
231,12.195,12.195,12.195,12.195,578
232,12.2,12.2,12.2,12.2,100
236,12.2,12.205,12.2,12.205,672
237,12.2,12.2,12.195,12.195,1069
245,12.2,12.2,12.2,12.2,196
255,12.25,12.25,12.25,12.25,500
272,12.215,12.215,12.215,12.215,82
275,12.04,12.04,12.04,12.04,888
285,12.015,12.02,12.015,12.02,500
288,12,12.015,12,12.015,1540
293,12,12.005,12,12.005,300
322,12.1,12.1,12.1,12.1,150
409,12,12,12,12,149
425,12.02,12.02,12.015,12.015,700
477,12.02,12.02,12.02,12.02,294
507,11.94,11.94,11.94,11.94,143
a1485331380,12,12.08,12,12.08,380
11,11.85,11.85,11.8,11.85,1762
17,11.85,11.85,11.85,11.85,31
34,11.9,11.9,11.9,11.9,44
35,11.9,11.9,11.9,11.9,456
38,11.9,11.9,11.8,11.85,6689
42,12,12,11.9,11.9,1931
44,11.915,11.915,11.915,11.915,699
60,11.75,11.85,11.75,11.85,10262
66,11.74,11.74,11.74,11.74,200
84,11.755,11.755,11.755,11.755,100
96,11.91,11.91,11.91,11.91,300
160,11.815,11.815,11.815,11.815,1000
201,11.815,11.815,11.815,11.815,778
203,11.815,11.815,11.815,11.815,1000
212,11.8,11.815,11.8,11.815,288
237,11.75,11.75,11.75,11.75,140
243,11.8,11.8,11.8,11.8,195
274,11.8,11.8,11.8,11.8,250
308,11.895,11.895,11.895,11.895,500
310,11.82,11.825,11.82,11.825,827
346,11.755,11.755,11.755,11.755,673
395,11.885,11.885,11.885,11.885,500
465,11.9,11.9,11.895,11.895,645
494,11.9,11.9,11.9,11.9,74
a1485417780,11.85,11.85,11.85,11.85,8
57,11.925,11.925,11.925,11.925,150
75,11.915,11.915,11.915,11.915,226
91,11.915,11.915,11.915,11.915,105
93,11.85,11.85,11.85,11.85,1000
381,11.995,11.995,11.995,11.995,57
505,11.99,11.99,11.99,11.99,157
507,11.995,11.995,11.995,11.995,219
a1485507000,12,12,12,12,1043
1,12,12,12,12,1726
2,12,12,12,12,1467
6,12,12,11.995,11.995,1679
39,11.995,11.995,11.995,11.995,50
93,11.905,11.905,11.905,11.905,544
104,11.915,11.915,11.915,11.915,340
105,11.915,11.915,11.915,11.915,225
149,11.92,11.92,11.92,11.92,168
170,11.92,11.92,11.92,11.92,250
188,11.92,11.92,11.92,11.92,250
267,12.035,12.035,11.945,11.945,1000
282,11.925,11.925,11.925,11.925,100
294,12.03,12.03,12.03,12.03,202
347,11.96,11.96,11.96,11.96,200
350,11.91,11.93,11.91,11.93,1224
405,11.9,11.9,11.9,11.9,400
a1485763380,11.8,11.8,11.8,11.8,172
46,11.7,11.805,11.7,11.805,13040
47,11.775,11.775,11.775,11.775,500
107,11.655,11.68,11.655,11.68,709
131,11.65,11.65,11.65,11.65,130
172,11.615,11.65,11.615,11.65,300
191,11.61,11.615,11.61,11.615,1000
263,11.66,11.66,11.66,11.66,10
268,11.61,11.61,11.61,11.61,676
321,11.655,11.655,11.655,11.655,5
400,11.66,11.66,11.655,11.655,4250
405,11.52,11.53,11.52,11.53,390
418,11.525,11.525,11.525,11.525,350
430,11.6,11.6,11.6,11.6,1000
507,11.535,11.535,11.535,11.535,9
"
