AWC
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484643900,66.8,66.8,66.8,66.8,6
73,66.06,66.06,66.06,66.06,40
331,67.11,67.11,67.11,67.11,6
436,66.92,66.92,66.92,66.92,85
a1484734680,67.99,67.99,67.99,67.99,50
4,68,68,68,68,85
a1484813160,68,68,68,68,15
209,67.99,67.99,67.99,67.99,60
a1484905440,66.51,66.51,66.51,66.51,150
46,66.55,66.55,66.55,66.55,30
229,67.65,67.65,67.65,67.65,50
a1485158700,67.86,67.86,67.86,67.86,3
a1485268560,66.7,66.7,66.7,66.7,30
3,66.62,66.62,66.62,66.62,100
a1485345060,67.77,67.77,67.77,67.77,40
238,66.99,66.99,66.99,66.99,40
a1485435120,66.08,66.08,66.08,66.08,270
141,66.89,66.89,66.89,66.89,270
a1485526980,66.46,66.7,66.46,66.7,410
a1485763500,66.7,66.7,66.7,66.7,11
"
