6GI
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484646660,6.97,6.97,6.97,6.97,28
a1484729640,7.02,7.02,7.02,7.02,200
101,7,7,7,7,850
387,7,7,7,7,1775
a1484914680,6.971,6.971,6.971,6.971,536
a1485159060,7.05,7.05,7.05,7.05,436
14,7.014,7.014,7.014,7.014,42
149,6.97,6.97,6.97,6.97,35
a1485253080,6.97,6.97,6.97,6.97,1002
137,6.97,6.97,6.97,6.97,2069
139,7.1,7.1,6.9,6.9,1500
a1485338760,6.9,6.9,6.9,6.9,135
54,7,7,7,7,3300
375,6.937,6.937,6.937,6.937,282
a1485417900,6.81,6.81,6.81,6.81,359
237,6.81,6.81,6.81,6.81,132
363,6.99,6.99,6.99,6.99,423
a1485504300,6.99,6.99,6.99,6.99,435
110,6.99,6.99,6.99,6.99,3
a1485774300,6.99,6.99,6.99,6.99,231
"
