ZCT1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1485175020,0.148,0.148,0.148,0.148,16400
24,0.152,0.152,0.152,0.152,10000
a1485360960,0.16,0.16,0.16,0.16,13800
a1485443700,0.158,0.158,0.158,0.158,12200
55,0.16,0.16,0.16,0.16,3000
71,0.16,0.16,0.16,0.16,11000
a1485519180,0.158,0.158,0.158,0.158,22000
a1485764460,0.16,0.16,0.16,0.16,10000
295,0.16,0.16,0.16,0.16,10000
328,0.164,0.164,0.164,0.164,1000
340,0.164,0.164,0.164,0.164,9000
355,0.162,0.162,0.162,0.162,2000
360,0.17,0.17,0.17,0.17,7500
369,0.175,0.175,0.17,0.17,24000
372,0.17,0.17,0.17,0.17,2400
373,0.165,0.165,0.165,0.165,1600
376,0.165,0.165,0.165,0.165,100
465,0.185,0.185,0.175,0.175,8300
466,0.2,0.2,0.2,0.2,700
476,0.19,0.19,0.19,0.19,750
"
