BYW
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484649720,31.46,31.46,31.46,31.46,230
a1484727360,31,31,31,31,300
35,31.32,31.32,31.32,31.32,3
a1484820720,31.5,31.5,31.5,31.5,50
372,31.9,31.9,31.9,31.9,65
a1484916300,31.145,31.15,31.145,31.15,300
169,31.65,31.65,31.65,31.65,100
188,32.34,32.34,32.335,32.335,541
a1485158580,32.89,32.89,32.89,32.89,1
171,32.49,32.49,32.49,32.49,150
492,32.38,32.38,32.38,32.38,90
495,32.11,32.11,32.11,32.11,50
a1485244980,32.89,32.89,32.89,32.89,50
196,32.135,32.135,32.135,32.135,46
392,32.315,32.315,32.315,32.315,188
a1485334020,32.475,32.475,32.475,32.475,12
a1485437820,31.8,31.8,31.8,31.8,50
165,32.225,32.225,32.225,32.225,500
a1485518520,31.7,31.7,31.7,31.7,50
47,32.1,32.1,32.1,32.1,127
a1485763380,32.9,32.9,32.9,32.9,40
"
