NC5A
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
310,34.5
313,34.96
321,34.5
323,34.805
324,35
325,35.225
328,36.355
335,35.785
336,36.335
339,35.52
341,35.505
345,35.505
346,35
349,34.99
350,34.51
358,34.005
375,34.8
377,35.43
378,35.495
381,35.4
382,35.5
384,35.995
391,36.15
394,35.78
397,35.895
404,35.555
407,35.87
408,35.565
410,35.84
413,36.475
415,36.4
426,36.29
433,36.58
436,36.965
441,35.335
444,35.65
448,35.645
485,35.29
486,35.25
488,35.25
490,35.3
491,35.345
496,35.045
505,35
a1496732700,36.3
9,36.445
14,36.44
16,36.45
19,36.45
21,36.05
22,36.04
26,36.25
30,36.2
31,36.25
34,36.31
35,36.5
44,36.595
45,36.295
47,36.595
51,36.595
52,36.4
58,36.27
70,36.545
71,36.545
75,36.55
76,36.255
81,36.5
83,36.5
84,36.5
102,36.5
103,36.59
107,36.35
110,36.59
112,36.35
116,36.5
128,36.35
156,36.27
164,36.2
166,36.01
167,35.995
175,35.26
185,34.86
187,34.585
189,34.56
190,34.27
195,33.92
197,33.6
198,33.13
200,31.5
201,32.04
202,31.36
204,32
205,31.505
206,31.06
207,31.8
208,31.585
209,31.1
210,31.095
211,31.68
212,30.755
214,30.825
215,31.42
216,31.655
217,31.3
218,31.4
219,31.59
220,31.765
221,31.595
222,32.28
223,32.105
224,32.47
229,32.6
230,32.3
231,32.685
232,32.685
233,32.835
234,32.835
235,32.89
236,32.6
237,32.895
238,32.9
239,32.9
240,32.96
241,32.98
244,33.005
248,33.2
250,33.5
252,33.49
256,33.435
257,33.33
258,33.6
259,33.9
260,33.9
263,33.6
264,33.6
266,33.98
275,34.01
278,34.06
285,34.17
293,34.165
301,34.395
307,33.9
309,33.715
313,34
324,33.995
329,34
332,33.715
342,34.2
349,34.395
355,34.49
370,34.825
382,34.825
399,34.8
400,34.83
403,34.855
408,33.765
414,33.44
424,33.575
428,34.47
431,34.49
449,33.445
451,32.86
452,33
453,32
454,32.02
456,32.41
461,32.865
463,32.475
470,32.83
471,32.835
473,32.84
475,33.27
476,33.005
477,33.27
478,33
485,32.99
490,33.315
497,33.005
499,32.84
501,33.265
a1496818980,32.745
2,32.5
7,31.87
12,31.995
15,32.585
16,32.735
19,32.75
20,32.225
23,33.39
26,33.32
37,33.77
42,33.675
43,33.235
49,33.555
67,33.975
68,33.795
108,33.55
112,33.745
115,33.735
129,33.125
134,33.135
136,33.725
152,33.595
163,33.21
169,33.495
178,33.105
196,33.45
204,33.025
227,33.15
228,33.385
249,33.6
257,33.55
267,33.385
269,33.65
284,33.645
292,33.65
319,33.365
353,33.35
371,33.36
378,33.36
386,33.36
395,33.65
397,33.65
415,33.55
432,33.71
440,33.995
460,34
462,34.485
464,34.5
477,33.845
478,34.495
480,34.495
481,34.5
484,34.84
491,35.6
493,35.605
499,35.605
500,35.6
504,35.505
506,36.24
507,35.645
a1496905380,36.5
2,36.495
4,36.49
9,36.5
12,36.5
16,36.5
24,36.5
25,36.5
27,36.09
33,36.495
39,36.735
54,36.735
55,36.89
58,36.21
65,36.1
66,36.87
71,36.83
100,36.5
102,36.695
104,36.695
105,36.7
108,36.7
110,36.205
111,36.695
128,36.69
129,36.695
136,36.31
144,36.545
146,36.695
154,36.7
158,36.7
178,36.7
180,36.8
182,36.845
183,36.85
186,36.9
201,36.935
217,36.93
247,36.8
248,36.8
250,36.55
256,36.8
257,36.8
311,36.635
323,36.5
334,36.94
340,36.94
364,36.945
370,36.94
385,36.94
391,36.98
393,36.98
399,37
406,36.8
417,37.4
453,37.4
459,37.4
460,37.4
464,37.475
465,37.7
466,38
467,37.415
469,38.46
477,38.485
478,38.5
482,38.5
484,38.5
485,38.5
489,38.805
491,38.19
494,39
498,38.705
501,38.75
504,38.895
505,38.435
506,38.8
507,38.82
"
