SNG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
40,7.785
42,7.78
88,7.72
169,7.72
197,7.72
223,7.72
235,7.72
245,7.749
246,7.75
251,7.75
255,7.8
256,7.801
261,7.802
268,7.801
270,7.86
271,7.85
276,7.85
281,7.801
282,7.85
295,7.947
308,7.947
321,7.95
338,7.97
339,7.97
341,8
343,7.95
346,8.05
351,7.991
355,8.049
360,8.001
367,8
375,7.93
392,7.989
398,7.892
408,7.89
412,7.846
413,7.989
428,7.989
429,7.999
437,8.046
438,8.08
440,8.051
441,8.088
444,8.05
449,8.05
450,8.091
464,8
465,8.05
467,8.05
472,8.05
473,8.11
477,8.06
484,8.105
495,8.109
499,8.05
a1493276580,8.048
2,8.28
3,8.3
14,8.372
19,8.334
21,8.449
23,8.35
27,8.449
31,8.345
32,8.32
34,8.272
36,8.273
39,8.272
40,8.4
41,8.273
42,8.251
46,8.2
47,8.32
51,8.37
53,8.225
56,8.22
58,8.259
59,8.258
70,8.25
71,8.25
75,8.26
79,8.296
83,8.296
87,8.347
88,8.313
93,8.333
102,8.275
120,8.3
136,8.3
144,8.29
150,8.291
155,8.298
162,8.305
167,8.32
168,8.305
169,8.27
183,8.27
209,8.261
215,8.261
217,8.25
218,8.22
219,8.2
225,8.28
234,8.201
237,8.17
239,8.14
240,8.199
250,8.18
255,8.188
275,8.197
286,8.131
299,8.197
307,8.16
308,8.1
346,8.145
358,8.1
363,8.08
371,8.15
395,8.076
404,8.072
420,8.159
422,8.197
423,8.196
427,8.211
441,8.2
447,8.11
453,8.11
454,8.028
455,8.001
467,8.178
478,8.156
487,8.181
490,8.189
501,8.03
a1493362980,7.968
4,8.21
34,8.211
35,8.104
37,8.21
46,8.05
54,8.2
56,8.216
64,8.151
67,8.2
78,8.226
80,8.348
84,8.202
96,8.329
112,8.379
113,8.4
120,8.33
131,8.4
134,8.313
159,8.316
163,8.346
172,8.349
179,8.35
192,8.284
195,8.35
208,8.35
214,8.35
231,8.285
248,8.28
259,8.348
260,8.348
263,8.282
265,8.347
282,8.288
326,8.283
338,8.247
345,8.247
353,8.25
357,8.25
366,8.24
401,8.234
412,8.237
426,8.249
430,8.147
433,8.245
452,8.2
462,8.2
478,8.193
480,8.216
481,8.25
486,8.233
495,8.2
496,8.25
503,8.25
a1493708580,8.397
11,8.36
16,8.36
24,8.4
45,8.4
49,8.331
52,8.417
72,8.332
84,8.366
116,8.371
118,8.338
119,8.35
120,8.35
134,8.35
150,8.35
158,8.35
166,8.35
187,8.349
220,8.348
242,8.348
270,8.301
282,8.348
314,8.349
325,8.35
357,8.35
365,8.349
381,8.35
411,8.349
424,8.35
447,8.311
464,8.349
468,8.35
481,8.33
484,8.34
486,8.31
493,8.319
494,8.319
495,8.319
499,8.319
502,8.3
"
